index,filename,sha256,disposition,reason,matched_quiz_concept,lectures,path
1,A ARDS Intraalveolar Hyaline Membranes Histology.png,13b3b5a6e354f66dc8284c9ef00d4dbc2b487678dafb6aa096319d3ed36b5278,REFERENCE_ONLY,"Retained as teaching/reference material: redundant with an existing tested concept, answer-labeled, primarily explanatory, or not a defensible image-required one-best item.",,"P26 - Diseases of the Respiratory Tract - Part 3 - Vascular, Cancer, Other Disease (Pathology)",/Users/chriselwell/Desktop/Pulm/Pulm Pictures/A ARDS Intraalveolar Hyaline Membranes Histology.png
2,A Asbestos Related Pleural Plaques CT.png,919c9a36b9c44a88eb6a6b447789f63118efeb924f8f93a6dc04147243424779,REFERENCE_ONLY,"Retained as teaching/reference material: redundant with an existing tested concept, answer-labeled, primarily explanatory, or not a defensible image-required one-best item.",,P24 - Diseases of the Respiratory Tract - Part 2 - Restrictive Disease (Pathology) | P27.2 - Chest X-Ray Final Review | Pulmonary - Comprehensive Study Guide,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/A Asbestos Related Pleural Plaques CT.png
3,A Sarcoidosis Noncaseating Granuloma Histology.png,57630f0725db7298d302c49fe8f393c40a08f48b0b5902c6592147550a473708,REFERENCE_ONLY,"Retained as teaching/reference material: redundant with an existing tested concept, answer-labeled, primarily explanatory, or not a defensible image-required one-best item.",,P24 - Diseases of the Respiratory Tract - Part 2 - Restrictive Disease (Pathology),/Users/chriselwell/Desktop/Pulm/Pulm Pictures/A Sarcoidosis Noncaseating Granuloma Histology.png
4,A Small Cell Lung Carcinoma Small Dark Blue Cells Histology.png,48142b8f0e16c4a3958bb8c6b06af432f33851bcfccf19339d970e009c8eb577,REFERENCE_ONLY,"Retained as teaching/reference material: redundant with an existing tested concept, answer-labeled, primarily explanatory, or not a defensible image-required one-best item.",,P14 - Introduction to Pulmonary Pathophysiology,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/A Small Cell Lung Carcinoma Small Dark Blue Cells Histology.png
5,Acid-Base Nomogram.jpg,ab405a8b61e6d369df866d0a0abdb37244f096390ae7daca13c422e060e8e598,REFERENCE_ONLY,"Retained as teaching/reference material: redundant with an existing tested concept, answer-labeled, primarily explanatory, or not a defensible image-required one-best item.",,"P7 - Gas Exchange, Part 2 - Causes of Hypoxemia",/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Acid-Base Nomogram.jpg
6,Acute-Respiratory-Distress-Syndrome-Initial-Ventilator-Management.png,acd1bcf4168346a63d33b4d9714eaa20d49cc1dc1b3d3ec0db7a8a3d8e054f98,REFERENCE_ONLY,"Retained as teaching/reference material: redundant with an existing tested concept, answer-labeled, primarily explanatory, or not a defensible image-required one-best item.",,P35 - Acute Respiratory Failure,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Acute-Respiratory-Distress-Syndrome-Initial-Ventilator-Management.png
7,acute-respiratory-distress-syndrome.jpg,2d1d1cf5cd09a74e346e30f7ca15338cea730b7abbc3fba5670ad9e43414bec5,REFERENCE_ONLY,"Retained as teaching/reference material: redundant with an existing tested concept, answer-labeled, primarily explanatory, or not a defensible image-required one-best item.",,P13 - Pulmonary Problem Solving Exercise Part 1,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/acute-respiratory-distress-syndrome.jpg
8,Adenovirus Febrile Pharyngitis.png,3a4ff8390c637e9d540a946683f9ad0993a3200999608a183fb9d1498bddaea6,REFERENCE_ONLY,"Retained as teaching/reference material: redundant with an existing tested concept, answer-labeled, primarily explanatory, or not a defensible image-required one-best item.",,P29 - Microbiology of Pneumonia - Viral Infections of the Respiratory Tract,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Adenovirus Febrile Pharyngitis.png
9,Adenovirus.png,7183dde595b4523c46a7bc5827192771724d40643295e78cdbf9d2e76696121c,REFERENCE_ONLY,"Retained as teaching/reference material: redundant with an existing tested concept, answer-labeled, primarily explanatory, or not a defensible image-required one-best item.",,P29 - Microbiology of Pneumonia - Viral Infections of the Respiratory Tract,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Adenovirus.png
10,adverse-effects-of-inhaled-corticosteroids.png,29ccd9e31cdd9cbc7e33f9c0e1778175afe0db7729da37dbacb9c7b4c2a57704,REFERENCE_ONLY,"Retained as teaching/reference material: redundant with an existing tested concept, answer-labeled, primarily explanatory, or not a defensible image-required one-best item.",,P22-23 - Drugs Used for Treatment of Asthma and COPD,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/adverse-effects-of-inhaled-corticosteroids.png
11,Air-Bronchogram.jpg,e0ff0eba97ef3749c9fc1b36508c99a3991f253d0d748ddd6cab80f33728468b,REFERENCE_ONLY,"Retained as teaching/reference material: redundant with an existing tested concept, answer-labeled, primarily explanatory, or not a defensible image-required one-best item.",,P27 - Radiology of Pulmonary Infections and Lung Cancer | P27.2 - Chest X-Ray Final Review | P31 - Review of Pneumonia - Pathology and Pharmacology,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Air-Bronchogram.jpg
12,Airspace Consolidation (1:2).jpg,a3014e3f226554412dc1e914cd8bce292590401b5aa225e62450ca8c56d420ae,REFERENCE_ONLY,"Retained as teaching/reference material: redundant with an existing tested concept, answer-labeled, primarily explanatory, or not a defensible image-required one-best item.",,P17 - Introduction to Respiratory Pathophysiology | P18 - Basic Interpretation of Chest X-Ray | P31 - Review of Pneumonia - Pathology and Pharmacology,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Airspace Consolidation (1:2).jpg
13,Airway Pressure in Spontaneous Breathing and Mechanical Ventilation.jpg,527661d668564974004c4372b69e8f62796928a6cbaafb384a636999ed61ab2d,REFERENCE_ONLY,"Retained as teaching/reference material: redundant with an existing tested concept, answer-labeled, primarily explanatory, or not a defensible image-required one-best item.",,"P35 - Acute Respiratory Failure | P5 - Spirometry, Obstructive and Restrictive Pulmonary Diseases",/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Airway Pressure in Spontaneous Breathing and Mechanical Ventilation.jpg
14,Airway Sizes.png,65ce5aea7c1f92aa15266e10e93c694c1b9eb3aa2d6665f8648405b930602b2f,REFERENCE_ONLY,"Retained as teaching/reference material: redundant with an existing tested concept, answer-labeled, primarily explanatory, or not a defensible image-required one-best item.",,P2 - Structure and Volumes,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Airway Sizes.png
15,alpha-1-antitrypsin-deficiency.jpg,81f877b88cd6f34e5d69b58ffbc346a4b33f89713b0219894378143f7dbdb393,REFERENCE_ONLY,"Retained as teaching/reference material: redundant with an existing tested concept, answer-labeled, primarily explanatory, or not a defensible image-required one-best item.",,P19 - Obstructive Diseases and Airway Diseases,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/alpha-1-antitrypsin-deficiency.jpg
16,Alveolar Structure.jpeg,a417dfc1367e89fcb39cecc353dd758035b84e7f0d1f151a045dd151ca0ae3eb,REFERENCE_ONLY,"Retained as teaching/reference material: redundant with an existing tested concept, answer-labeled, primarily explanatory, or not a defensible image-required one-best item.",,P2 - Structure and Volumes,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Alveolar Structure.jpeg
17,Alveolar-and-Pleural-Pressures-Tidal-Breathing.png,ca1795d4d92e979eaf1555127d83bf6851f9caabe41582d130747907aad4a553,REFERENCE_ONLY,"Retained as teaching/reference material: redundant with an existing tested concept, answer-labeled, primarily explanatory, or not a defensible image-required one-best item.",,"P4 - Mechanics, Compliance and Ventilation | P9 - Pulmonary Physiology Review | Pulmonary - Comprehensive Study Guide",/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Alveolar-and-Pleural-Pressures-Tidal-Breathing.png
18,Alveolar-Gas-Equation-Formula.png,45fd34ba2a88539eaad5b83447ba157df3d012d81aa05ef9dfff8b460bf0ba61,REFERENCE_ONLY,"Retained as teaching/reference material: redundant with an existing tested concept, answer-labeled, primarily explanatory, or not a defensible image-required one-best item.",,"P10 - Physiology Six-Case Workshop | P6 - Gas Exchange, Part 1 - Pressures, Diffusion and Transport",/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Alveolar-Gas-Equation-Formula.png
19,Alveolar-Hypoventilation-Aa-Gradient.png,6b512083ed429d1900f1662b93d1670799a30ab4c9ff43c31975fe1875c8660c,REFERENCE_ONLY,"Retained as teaching/reference material: redundant with an existing tested concept, answer-labeled, primarily explanatory, or not a defensible image-required one-best item.",,"P10 - Physiology Six-Case Workshop | P7 - Gas Exchange, Part 2 - Causes of Hypoxemia",/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Alveolar-Hypoventilation-Aa-Gradient.png
20,Alveoli-Toluidine-Blue-Pneumocytes-Histology.png,c350e9a6be3906fce1ff4c8a3fba33aea9d716f812c44815ff688d970b8e805f,REFERENCE_ONLY,"Retained as teaching/reference material: redundant with an existing tested concept, answer-labeled, primarily explanatory, or not a defensible image-required one-best item.",,P1 - Histology of the Respiratory System Review,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Alveoli-Toluidine-Blue-Pneumocytes-Histology.png
21,Alveolus-and-Respiratory-Bronchiole-Histology.png,70b604643094efed54ca0241b500d7fbdc746fde45e198bc2ea83cdc5f33fe7c,REFERENCE_ONLY,"Retained as teaching/reference material: redundant with an existing tested concept, answer-labeled, primarily explanatory, or not a defensible image-required one-best item.",,P1 - Histology of the Respiratory System Review,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Alveolus-and-Respiratory-Bronchiole-Histology.png
22,alveolus-gas-exchange-diagram.png,5ec487433f77aed730fbdb5605d24b7353ea92c6d844173dee145f8f28eaa18c,REFERENCE_ONLY,"Retained as teaching/reference material: redundant with an existing tested concept, answer-labeled, primarily explanatory, or not a defensible image-required one-best item.",,P17 - Introduction to Respiratory Pathophysiology,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/alveolus-gas-exchange-diagram.png
23,Alveolus-Size-Surfactant-Collapsing-Pressure.png,a4eb814f025c01a9be06ddda7f106775d11fd5f4cc6f001e1564b79c983bf863,REFERENCE_ONLY,"Retained as teaching/reference material: redundant with an existing tested concept, answer-labeled, primarily explanatory, or not a defensible image-required one-best item.",,P3 - Airway and Vascular Flow | P9 - Pulmonary Physiology Review | Pulmonary - Comprehensive Study Guide,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Alveolus-Size-Surfactant-Collapsing-Pressure.png
24,Amphotericin B Overview.png,c59c56776ead0fb5247c55e204ef7ff7fb70f6167f7f42fbe4a77895d02d9cfa,REFERENCE_ONLY,"Retained as teaching/reference material: redundant with an existing tested concept, answer-labeled, primarily explanatory, or not a defensible image-required one-best item.",,P30 - Microbiology of Pneumonia - Fungal Infections,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Amphotericin B Overview.png
25,Anatomic-Physiological-Dead-Space-Shunt-Diagram.png,f97085a64906328ed15c161a31b210b984ab611395e95abe522598b9c2c59b66,REFERENCE_ONLY,"Retained as teaching/reference material: redundant with an existing tested concept, answer-labeled, primarily explanatory, or not a defensible image-required one-best item.",,P9 - Pulmonary Physiology Review,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Anatomic-Physiological-Dead-Space-Shunt-Diagram.png
26,Anatomical Vs. Alveolar Dead Space (Minute Ventilation).jpg,fc595158452f796559b1392b39771c0b26e14124463e7175a3dd1ae57615c566,REFERENCE_ONLY,"Retained as teaching/reference material: redundant with an existing tested concept, answer-labeled, primarily explanatory, or not a defensible image-required one-best item.",,"P35 - Acute Respiratory Failure | P4 - Mechanics, Compliance and Ventilation | Pulmonary - Comprehensive Study Guide",/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Anatomical Vs. Alveolar Dead Space (Minute Ventilation).jpg
27,Anatomy of the Intercostal Muscles.jpg,001456011a670f4cd7bf2915d68ddea4c8a00e2de30d2642fb79c6d9942c30c7,REFERENCE_ONLY,"Retained as teaching/reference material: redundant with an existing tested concept, answer-labeled, primarily explanatory, or not a defensible image-required one-best item.",,P2 - Structure and Volumes,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Anatomy of the Intercostal Muscles.jpg
28,Antifungal Therapy Mechanisms Diagram.png,0fd6680ca1eac3d2df9d2b3705d68d4ec2a6b1051a994aece9dc94e4a80f6bbb,REFERENCE_ONLY,"Retained as teaching/reference material: redundant with an existing tested concept, answer-labeled, primarily explanatory, or not a defensible image-required one-best item.",,P30 - Microbiology of Pneumonia - Fungal Infections,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Antifungal Therapy Mechanisms Diagram.png
